artifact_dir,recipe,seed,max_step,eval_step,fid_at_eval,kid_at_eval,precision_at_eval,recall_at_eval,lpips_at_eval,rpse_at_eval,wbed_at_eval,fid_auc_at_eval,fid_final,kid_final,best_fid,best_fid_step,best_fid_upto_eval,best_fid_upto_eval_step,sec_per_iter_tail20,vram_peak_mb
artifacts-03-20-05-phase_b_r0_baseline_32,phase_b_r0_baseline_32,42,30000,30000,21.1904,0.014559,0.6396,0.4586,0.2192,0.000175,0.031605,146742.2546,21.1904,0.014559,21.1904,30000.0,21.1904,30000.0,0.656905,3177.0
artifacts-03-10-01-phase_b_r0_baseline_32,phase_b_r0_baseline_32,42,30000,30000,21.3355,0.015421,0.639,0.4492,0.2183,0.00019,0.023329,143986.7343,21.3355,0.015421,21.3355,30000.0,21.3355,30000.0,1.027425,4829.4
artifacts-03-21-01-phase_b_r0_baseline_32,phase_b_r0_baseline_32,42,30000,30000,21.8369,0.015311,0.6355,0.4517,0.2211,0.000166,0.04003,144143.1631,21.8369,0.015311,21.8369,30000.0,21.8369,30000.0,1.03916,4829.4
artifacts-03-16-01-phase_e_r8_waved_wavereg_sched_32,phase_e_r8_waved_wavereg_sched_32,42,30000,30000,21.9593,0.015282,0.641,0.4542,0.2197,0.000565,0.017518,151253.6224,21.9593,0.015282,21.9593,30000.0,21.9593,30000.0,1.0599599999999998,4915.6
artifacts-03-22-03-phase_f_r9_waved_gatewarm_32_seed43,phase_f_r9_waved_gatewarm_32_seed43,43,30000,30000,22.2751,0.016471,0.6171,0.466,0.215,0.000495,0.007831,147844.2706,22.2751,0.016471,22.2751,30000.0,22.2751,30000.0,0.688975,3212.5
artifacts-03-16-02-phase_e_r9_waved_gatewarm_32,phase_e_r9_waved_gatewarm_32,42,30000,30000,22.3503,0.016375,0.6451,0.4543,0.2162,0.00018,0.050744,148405.5872,22.3503,0.016375,22.3503,30000.0,22.3503,30000.0,1.0383900000000001,4915.6
artifacts-03-22-02-phase_g_r0_baseline_32_seed44,phase_g_r0_baseline_32_seed44,44,30000,30000,22.4049,0.015921,0.6247,0.4428,0.2185,0.000188,0.047599,142776.524,22.4049,0.015921,22.4049,30000.0,22.4049,30000.0,0.6492699999999999,3177.0
artifacts-03-14-01-phase_c_r6_fftreg_32,phase_c_r6_fftreg_32,42,30000,30000,22.4578,0.016654,0.6381,0.4655,0.2183,0.000627,0.018143,153836.0321,22.4578,0.016654,22.4578,30000.0,22.4578,30000.0,1.01327,4832.5
artifacts-03-11-02-phase_b_r2_waved_32,phase_b_r2_waved_32,42,30000,30000,22.9342,0.016035,0.6222,0.4575,0.2165,0.000162,0.017102,147156.9919,22.9342,0.016035,22.9342,30000.0,22.9342,30000.0,1.04917,4915.6
artifacts-03-11-01-phase_b_r1_matched_capacity_32,phase_b_r1_matched_capacity_32,42,30000,30000,22.9752,0.017071,0.6252,0.4568,0.2148,0.000198,0.014362,147968.1253,22.9752,0.017071,22.9752,30000.0,22.9752,30000.0,1.05745,4910.2
artifacts-03-15-01-phase_e_r7_wavereg_sched_32,phase_e_r7_wavereg_sched_32,42,30000,30000,23.1124,0.016888,0.6424,0.4578,0.2177,0.000376,0.021406,149952.1234,23.1124,0.016888,23.1124,30000.0,23.1124,30000.0,1.012155,4834.6
artifacts-03-12-02-phase_c_r4_waved_fftreg_32,phase_c_r4_waved_fftreg_32,42,30000,30000,23.1217,0.016742,0.6374,0.4415,0.2157,0.000183,0.008025,147217.6877,23.1217,0.016742,23.1217,30000.0,23.1217,30000.0,1.04901,4911.6
artifacts-03-22-01-phase_f_r8_waved_wavereg_sched_32_seed43,phase_f_r8_waved_wavereg_sched_32_seed43,43,30000,30000,23.1272,0.016518,0.6169,0.4587,0.2136,0.000303,0.02449,155214.8685,23.1272,0.016518,23.1272,30000.0,23.1272,30000.0,0.675995,3218.8
artifacts-03-17-01-phase_e_r10_waved_wavereg_combo_32,phase_e_r10_waved_wavereg_combo_32,42,30000,30000,23.5177,0.016746,0.6443,0.4314,0.2199,0.000266,0.02322,153663.7021,23.5177,0.016746,23.5177,30000.0,23.5177,30000.0,1.030635,4915.6
artifacts-03-17-02-phase_e_r11_wavereg_fidgate_32,phase_e_r11_wavereg_fidgate_32,42,30000,30000,24.4362,0.017643,0.6382,0.4439,0.2194,0.000332,0.026008,156793.4332,24.4362,0.017643,24.4362,30000.0,24.4362,30000.0,1.022435,4829.4
artifacts-03-13-01-phase_c_r5_wavereg_32,phase_c_r5_wavereg_32,42,30000,30000,24.7034,0.019164,0.6336,0.4626,0.2177,0.000426,0.004612,160717.0944,24.7034,0.019164,24.7034,30000.0,24.7034,30000.0,1.0170550000000003,4834.6
artifacts-03-12-01-phase_c_r3_waved_wavereg_32,phase_c_r3_waved_wavereg_32,42,30000,30000,24.8504,0.018518,0.6198,0.4494,0.2179,0.000699,0.042055,159749.8865,24.8504,0.018518,24.8504,30000.0,24.8504,30000.0,1.06006,4915.6
artifacts-03-19-02-phase_b_r0_baseline_32,phase_b_r0_baseline_32,42,100000,30000,28.3037,0.017248,0.6007,0.4569,0.2286,0.003214,0.130913,156290.4684,78.4275,0.055944,23.0302,47500.0,27.6302,27500.0,0.32093,2636.6
